title,chart_week,performer,peak_pos,wks_on_chart,album_name,release_date,popularity,explicit,listeners,play_count,duration_s,genre
Sucker For Pain,2016-12-10,Lil Wayne,15,22,Sucker for Pain (with Logic & Ty Dolla $ign feat. X Ambassadors),2016-06-24,78,True,3679,14764,243.49,rap
My Way,2016-12-10,Calvin Harris,24,10,My Way,2016-09-16,80,False,599649,3874671,219.159,edm
Move,2016-12-10,Luke Bryan,50,14,Kill The Lights (Deluxe),2015-08-07,63,False,24833,170470,227.413,country
Vice,2016-12-10,Miranda Lambert,47,19,The Weight of These Wings,2016-11-18,69,False,36350,239705,240.28,country
Infinite,2016-12-10,Eminem,97,1,Infinite,1996-11-12,57,True,109142,895087,251.707,rap
Send My Love (To Your New Lover),2016-12-03,Adele,8,27,25,2015-11-20,75,False,801738,6385890,223.078,soft pop
Hallelujah,2016-12-03,Leonard Cohen,59,1,Various Positions,1984-12-11,66,False,491549,2531141,277.16,singer-songwriter
We The People....,2016-12-03,A Tribe Called Quest,77,1,We got it from Here... Thank You 4 Your service,2016-11-11,54,True,230905,1576785,172.013,jazz rap
It Don't Hurt Like It Used To,2016-12-03,Billy Currington,44,17,Summer Forever,2015-06-02,68,False,46541,309854,184.506,country
Wishing,2016-12-03,DJ Drama,77,14,Bloggin Like a Fool,2012-10-24,2,True,17414,84500,293.986,southern hip hop
Money Longer,2016-11-26,Lil Uzi Vert,54,22,Lil Uzi Vert vs. The World,2016-05-27,76,True,627920,7344376,198.944,melodic rap
I Know Somebody,2016-11-26,LOCASH,52,11,The Fighters,2016-06-17,61,False,15311,99190,197.829,country
All Eyez,2016-11-26,The Game,79,5,All Eyez On Me,1996-02-13,81,True,6148,25028,307.773,west coast hip hop
On The Regular,2016-11-19,Meek Mill,75,1,DC4,2016-10-28,47,True,25289,139761,184.109,rap
Blue Notes,2016-11-19,Meek Mill,93,1,DC4,2016-10-28,72,True,135580,1257220,227.808,rap
Blessed Up,2016-11-19,Meek Mill,97,1,DC4,2016-10-28,42,True,17160,74198,201.254,rap
Into You,2016-11-12,Ariana Grande,13,24,Dangerous Woman,2016-04-01,84,False,1316368,19653082,244.453,pop
Controlla,2016-11-12,Drake,16,26,Views,2016-05-06,76,True,553491,4638137,245.226,rap
Perfect Illusion,2016-11-12,Lady Gaga,15,6,Joanne (Deluxe),2016-10-21,66,False,398593,5662467,182.0,art pop
Why You Always Hatin?,2016-11-12,YG,62,18,Still Brazy (Deluxe),2016-06-17,62,True,109182,641575,196.586,hyphy
I Met A Girl,2016-11-05,William Michael Morgan,60,9,Vinyl,2016-09-30,51,False,10786,66220,201.533,country
Father Stretch My Hands Pt. 1,2016-10-29,Kanye West,37,23,The Life Of Pablo,2016-06-10,83,True,1503670,30831840,135.92,rap
Peter Pan,2016-10-29,Kelsea Ballerini,35,20,The First Time,2015-05-18,65,False,54881,385515,200.04,country
Forever Country,2016-10-29,Artists Of Then,21,4,Forever Country,2016-09-16,60,False,8,14,242.48,country
Cranes In The Sky,2016-10-29,Solange,74,2,A Seat at the Table,2016-09-30,67,False,437459,3791260,250.973,alternative r&b
Make You Miss Me,2016-10-22,Sam Hunt,45,19,Montevallo,2014-10-24,69,False,61368,457578,225.693,country
H.O.L.Y.,2016-10-15,Florida Georgia Line,14,22,Dig Your Roots,2016-08-26,69,False,90587,621008,194.186,country
Purple Lamborghini,2016-10-15,Skrillex,33,10,Purple Lamborghini (with Rick Ross),2016-07-22,68,True,13693,60972,215.51,dubstep
Rise,2016-10-01,Katy Perry,11,9,Rise,2016-07-15,65,False,172060,1643756,203.474,pop
Make Me...,2016-10-01,Britney Spears,17,9,Ultimate Victory,2007-01-01,18,False,28439,365751,191.653,pop
She's Got A Way With Words,2016-10-01,Blake Shelton,61,12,If I'm Honest,2016-05-20,54,False,17149,89552,190.986,country
